epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.485,0.59809,1.3325,0.8523,0.99282,0.9956,0.99484,0.8659,0.4678,1.02412,0.79381,0.000412979,0.000412979,0.000412979
2,639.696,0.43345,0.50952,0.82323,0.99926,1,0.995,0.89271,0.47355,0.45784,0.79771,0.000821433,0.000821433,0.000821433
3,953.476,0.41296,0.45358,0.82,0.99869,0.99973,0.995,0.94976,0.27194,0.40446,0.76953,0.00122164,0.00122164,0.00122164
4,1266.17,0.41461,0.42831,0.81894,0.99971,1,0.995,0.91776,0.38358,0.37748,0.78076,0.00121287,0.00121287,0.00121287
5,1578.49,0.32798,0.35474,0.80609,0.99407,0.99863,0.99419,0.95515,0.27252,0.31431,0.76715,0.0012005,0.0012005,0.0012005
6,1881.35,0.32439,0.32019,0.80163,0.9995,1,0.995,0.92004,0.34457,0.30123,0.77635,0.00118812,0.00118812,0.00118812
7,2187.16,0.31211,0.29933,0.80043,0.99975,1,0.995,0.97231,0.24198,0.25239,0.763,0.00117575,0.00117575,0.00117575
8,2490.54,0.32285,0.28986,0.80145,0.99974,1,0.995,0.96488,0.28158,0.25827,0.76903,0.00116337,0.00116337,0.00116337
9,2792.44,0.30191,0.2724,0.80084,0.99942,0.99948,0.995,0.98617,0.19984,0.23193,0.75913,0.001151,0.001151,0.001151
10,3098.32,0.29774,0.26489,0.80015,0.99976,1,0.995,0.93329,0.34624,0.23624,0.7729,0.00113863,0.00113863,0.00113863
11,3401.75,0.2923,0.25566,0.7989,0.99928,0.99934,0.995,0.89258,0.47671,0.26744,0.79164,0.00112625,0.00112625,0.00112625
12,3705.77,0.29938,0.2592,0.8016,0.99971,1,0.995,0.98568,0.20397,0.20095,0.75883,0.00111388,0.00111388,0.00111388
13,4010.98,0.26795,0.23576,0.79637,0.99964,1,0.995,0.95645,0.27665,0.20875,0.7643,0.0011015,0.0011015,0.0011015
14,4316.43,0.26737,0.23144,0.79619,0.99975,1,0.995,0.99273,0.15506,0.15966,0.75492,0.00108913,0.00108913,0.00108913
15,4854,0.27274,0.23099,0.79623,0.99976,1,0.995,0.95489,0.27998,0.21642,0.7647,0.00107675,0.00107675,0.00107675
16,5644.55,0.25048,0.21388,0.79489,0.99971,1,0.995,0.99018,0.16696,0.15832,0.75521,0.00106437,0.00106437,0.00106437
17,6530.33,0.25155,0.21297,0.79312,0.99982,1,0.995,0.99273,0.17289,0.16402,0.75516,0.001052,0.001052,0.001052
18,7285.12,0.2392,0.2066,0.79142,0.99977,1,0.995,0.984,0.23793,0.18575,0.75742,0.00103962,0.00103962,0.00103962
19,7922.21,0.25817,0.20593,0.79335,0.99979,1,0.995,0.94121,0.33732,0.18606,0.76952,0.00102725,0.00102725,0.00102725
20,8558.99,0.24682,0.20108,0.79325,0.99972,1,0.995,0.99309,0.18049,0.1601,0.75279,0.00101488,0.00101488,0.00101488
21,9198.4,0.23716,0.19784,0.79197,0.99982,1,0.995,0.96052,0.28978,0.17708,0.76396,0.0010025,0.0010025,0.0010025
22,9835.9,0.23111,0.19295,0.79022,0.99983,1,0.995,0.99163,0.17113,0.14962,0.75304,0.000990125,0.000990125,0.000990125
23,10455.4,0.22663,0.1906,0.7897,0.99983,1,0.995,0.99208,0.19644,0.15735,0.75558,0.00097775,0.00097775,0.00097775
24,11077.8,0.233,0.18963,0.78965,0.99975,1,0.995,0.99309,0.18713,0.15283,0.75409,0.000965375,0.000965375,0.000965375
25,11732,0.21842,0.1825,0.78984,0.99979,1,0.995,0.99192,0.21618,0.16028,0.7566,0.000953,0.000953,0.000953
26,11992.9,0.22025,0.18359,0.78983,0.99982,1,0.995,0.99422,0.1399,0.13104,0.75289,0.000940625,0.000940625,0.000940625
27,12252.6,0.22198,0.1799,0.79033,0.99979,1,0.995,0.99491,0.11344,0.12887,0.74961,0.00092825,0.00092825,0.00092825
28,12512,0.21828,0.17939,0.78924,0.99981,1,0.995,0.99299,0.17434,0.14484,0.75388,0.000915875,0.000915875,0.000915875
29,12771.5,0.21577,0.1779,0.7907,0.99982,1,0.995,0.98943,0.23199,0.15715,0.75852,0.0009035,0.0009035,0.0009035
30,13031.2,0.20672,0.1729,0.78736,0.99904,0.99984,0.995,0.99496,0.12552,0.13205,0.75119,0.000891125,0.000891125,0.000891125
31,13291.3,0.20653,0.17576,0.78825,0.99977,1,0.995,0.99091,0.18252,0.14391,0.75586,0.00087875,0.00087875,0.00087875
32,13551,0.20742,0.17476,0.78955,0.99976,1,0.995,0.9909,0.18443,0.13708,0.75561,0.000866375,0.000866375,0.000866375
33,13810.4,0.20717,0.17202,0.78622,0.9998,1,0.995,0.99444,0.11732,0.11705,0.75051,0.000854,0.000854,0.000854
34,14069.2,0.19817,0.16491,0.78571,0.99983,1,0.995,0.99385,0.17211,0.13353,0.75243,0.000841625,0.000841625,0.000841625
35,14329.5,0.20505,0.16592,0.78897,0.99983,1,0.995,0.99399,0.17334,0.12693,0.75383,0.00082925,0.00082925,0.00082925
36,14588.8,0.20261,0.1684,0.7872,0.99978,1,0.995,0.9899,0.22145,0.14621,0.75672,0.000816875,0.000816875,0.000816875
37,14873.4,0.1997,0.16622,0.78806,0.9998,1,0.995,0.99355,0.1737,0.12948,0.75379,0.0008045,0.0008045,0.0008045
38,15133.1,0.19998,0.16406,0.78818,0.99981,1,0.995,0.99275,0.17352,0.12892,0.75385,0.000792125,0.000792125,0.000792125
39,15392.5,0.20012,0.16353,0.78702,0.99967,1,0.995,0.99463,0.1418,0.1223,0.75173,0.00077975,0.00077975,0.00077975
40,15652.1,0.19566,0.16011,0.78628,0.99768,0.99969,0.995,0.99473,0.15487,0.12373,0.75208,0.000767375,0.000767375,0.000767375
41,15911.5,0.19297,0.1584,0.78677,0.99792,0.99978,0.995,0.99461,0.10594,0.11038,0.7499,0.000755,0.000755,0.000755
42,16170.2,0.19359,0.16034,0.78703,0.99981,1,0.995,0.99466,0.14756,0.12307,0.75189,0.000742625,0.000742625,0.000742625
43,16429.5,0.19659,0.1567,0.7891,0.99983,1,0.995,0.99472,0.16469,0.11843,0.75213,0.00073025,0.00073025,0.00073025
44,16708.6,0.18735,0.15363,0.7865,0.99981,1,0.995,0.99374,0.17152,0.1255,0.7529,0.000717875,0.000717875,0.000717875
45,16968.3,0.1953,0.15726,0.78567,0.99981,1,0.995,0.99496,0.11536,0.11536,0.75012,0.0007055,0.0007055,0.0007055
46,17228.1,0.19338,0.15445,0.78768,0.99979,1,0.995,0.99468,0.18438,0.12422,0.75369,0.000693125,0.000693125,0.000693125
47,17488.3,0.19662,0.15616,0.78809,0.99983,1,0.995,0.99424,0.14468,0.11199,0.75229,0.00068075,0.00068075,0.00068075
48,17747.5,0.18928,0.15076,0.78488,0.99982,1,0.995,0.99225,0.19975,0.12654,0.75467,0.000668375,0.000668375,0.000668375
49,18006.6,0.18344,0.14866,0.78545,0.99982,1,0.995,0.99496,0.12696,0.10877,0.75095,0.000656,0.000656,0.000656
50,18266.3,0.18929,0.15021,0.78638,0.99981,1,0.995,0.99248,0.15918,0.1142,0.75242,0.000643625,0.000643625,0.000643625
