epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3046,1.90604,2.62784,1.84897,0.4157,0.35288,0.33661,0.2001,1.74248,2.51737,1.48157,0.0001125,0.0001125,0.0001125
2,34.0413,1.62031,1.97948,1.57608,0.35318,0.33338,0.29003,0.16982,1.72437,2.56759,1.47813,0.000234561,0.000234561,0.000234561
3,47.9399,1.45608,1.63805,1.41713,0.42208,0.44231,0.33791,0.18253,1.7843,1.8549,1.51591,0.000353528,0.000353528,0.000353528
4,61.4241,1.42917,1.39942,1.32194,0.33305,0.39126,0.37592,0.17706,1.7716,1.6281,1.47048,0.000469402,0.000469402,0.000469402
5,74.128,1.37117,1.32976,1.2747,0.48054,0.53564,0.50437,0.25841,1.68838,1.51131,1.36978,0.000582181,0.000582181,0.000582181
6,87.0399,1.33998,1.25867,1.23013,0.52508,0.55978,0.57188,0.30996,1.65216,1.38879,1.31368,0.000691867,0.000691867,0.000691867
7,101.656,1.29616,1.23216,1.19999,0.62555,0.51878,0.59555,0.32527,1.61453,1.28969,1.2777,0.000798459,0.000798459,0.000798459
8,115.154,1.26402,1.10554,1.20316,0.63084,0.61231,0.6202,0.35283,1.59139,1.20028,1.25358,0.000901958,0.000901958,0.000901958
9,129.975,1.27566,1.10257,1.15168,0.61467,0.63235,0.63061,0.36922,1.53868,1.24482,1.22377,0.00100236,0.00100236,0.00100236
10,144.105,1.264,1.12463,1.16128,0.66788,0.61834,0.65781,0.40033,1.47991,1.24496,1.20259,0.00109967,0.00109967,0.00109967
11,158.214,1.23082,1.03872,1.16142,0.68054,0.63907,0.67918,0.41096,1.492,1.18166,1.21426,0.00109531,0.00109531,0.00109531
12,172.778,1.2877,1.10692,1.18749,0.68551,0.63881,0.68079,0.41105,1.49946,1.15327,1.21689,0.00107984,0.00107984,0.00107984
13,187.254,1.25027,1.05419,1.1576,0.64554,0.62402,0.67184,0.40558,1.50033,1.23523,1.2099,0.00106437,0.00106437,0.00106437
